,,,,,,,,,,,extracted automatically,,,,,,,
139,2023,An explainable and interpretable model for attention deficit hyperactivity disorder in children using EEG signals,Smith K. Khare; U. Rajendra Acharya,Journal Article,Elsevier BV,108,TRUE,https://doi.org/10.1016/j.compbiomed.2023.106676,,10.1016/j.compbiomed.2023.106676,attention deficit hyperactivity disorder,ADHD,Psychiatry & Mental Health,LIME; SHAP; Partial Dependence Plot; Morris sensitivity,Explainable Boosting Machine; VMD-HT,Physiological signal,Risk prediction/screening,high
141,2024,An explainable and supervised machine learning model for prediction of red blood cell transfusion in patients during hip fracture surgery,Yongchang Zhou; Suo Wang; Zhikun Wu; Weixing Chen; Dong Yang; Chaojin Chen; Gaofeng Zhao; Qingxiong Hong,Journal Article,BioMed Central,4,TRUE,https://bmcanesthesiol.biomedcentral.com/counter/pdf/10.1186/s12871-024-02832-y,39702008,10.1186/s12871-024-02832-y,intraoperative red blood cell transfusion in hip fracture surgery,Orthopaedic surgery,Critical Care & Surgery,SHAP,Random Forest; ML algorithms (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
143,2025,An Explainable Approach to Parkinson's Diagnosis Using the Contrastive Explanation Method-CEM,İpek Balıkçı Çiçek; Zeynep Küçükakçalı; Birgul Deniz; Fatma Ebru Algül,Journal Article,Multidisciplinary Digital Publishing Institute,3,TRUE,https://www.mdpi.com/2075-4418/15/16/2069/pdf?version=1755523115,40870922,10.3390/diagnostics15162069,Parkinson's disease,Parkinson's disease,Neurology,CEM; LIME,Deep Neural Network; SVM; Logistic Regression; KNN; AdaBoost,Medical imaging,Risk prediction/screening,high
147,2023,An explainable artificial intelligence framework for risk prediction of COPD in smokers,Xuchun Wang; Yuchao Qiao; Yu Cui; Hao Ren; Ying Zhao; Liqin Linghu; Jiahui Ren; Zhiyang Zhao; Limin Chen; Lixia Qiu,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,29,TRUE,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/s12889-023-17011-w,37932692,10.1186/s12889-023-17011-w,chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Respiratory & Infectious Disease,SHAP; Partial Dependence Plot,CatBoost; NGBoost; XGBoost; LightGBM; Random Forest; SVM; Logistic Regression; SMOTE,Tabular/EHR,Risk prediction/screening,high
149,2025,An explainable artificial intelligence framework for weaning outcomes prediction using features from electrical impedance tomography,Pu Wang; Teng-Hui Chen; Mei-Yun Chang; Hai-Yen Hsia; Meng Dai; Yifan Liu; Yeong-Long Hsu; Feng Fu; Zhanqi Zhao,Journal Article,Elsevier BV,4,TRUE,https://doi.org/10.1016/j.cmpb.2025.108811,,10.1016/j.cmpb.2025.108811,prolonged mechanical ventilation weaning outcome,Mechanical ventilation,Respiratory & Infectious Disease,SHAP; LIME,XGBoost; ML algorithms (unspecified); SMOTE,Tabular/EHR,Prognosis/outcome prediction,high
150,2023,An Explainable Artificial Intelligence Model for the Classification of Breast Cancer,Tarek Khater; Abir Hussain; Riyad Bendardaf; Iman M. Talaat; Hissam Tawfik; Sam Ansari; Soliman A. Mahmoud,Article,Institute of Electrical and Electronics Engineers,43,TRUE,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10229149.pdf,,10.1109/ACCESS.2023.3308446,breast cancer,Breast cancer,Oncology,model-agnostic XAI (unspecified),KNN; ANN,Tabular/EHR,Risk prediction/screening,high
152,2024,An Explainable Artificial Intelligence Model to Predict Malignant Cerebral Edema after Acute Anterior Circulating Large-Hemisphere Infarction,Liping Cao; Xiaoming Ma; Wendie Huang; Geman Xu; Yumei Wang; Meng Liu; Shiying Sheng; Keshi Mao,Article,Karger Publishers,6,FALSE,,,10.1159/000538424,malignant cerebral oedema in large hemisphere infarction,Stroke,Neurology,SHAP,XGBoost,Tabular/EHR,Treatment response prediction,high
155,2024,An Explainable Artificial Intelligence Text Classifier for Suicidality Prediction in Youth Crisis Text Line Users: Development and Validation Study,Julia Thomas; Antonia Lucht; Jacob Segler; Richard Wundrack; Marcel Miché; Roselind Lieb; Lars Kuchinke; Gunther Meinlschmidt,Journal Article,JMIR Publications,17,TRUE,https://publichealth.jmir.org/2025/1/e63809/PDF,39879608,10.2196/63809,suicidal ideation and behaviour,Suicide,Psychiatry & Mental Health,SHAP,Transformer; LSTM; word-vector-based ML model,Multimodal,Risk prediction/screening,high
159,2023,An explainable artificial intelligence-enabled electrocardiogram analysis model for the classification of reduced left ventricular function,Susumu Katsushika; Satoshi Kodera; Shinnosuke Sawano; Hiroki Shinohara; Naoto Setoguchi; Kengo Tanabe; Yasutomi Higashikuni; Norifumi Takeda; Katsuhito Fujiu; Masao Daimon; Hiroshi Akazawa; Hiroyuki Morita; Issei Komuro,Journal Article,Oxford University Press,16,TRUE,https://academic.oup.com/ehjdh/advance-article-pdf/doi/10.1093/ehjdh/ztad027/49959206/ztad027.pdf,37265859,10.1093/ehjdh/ztad027,reduced left ventricular ejection fraction,Heart failure,Cardiology,SHAP,Random Forest,Multimodal,Diagnosis/detection/classification,high
161,2021,An explainable CNN approach for medical codes prediction from clinical text,Shu-Yuan Hu; Fei Teng; Lufei Huang; Jun Yan; Haibo Zhang,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,36,TRUE,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-021-01615-6,34789241,10.1186/s12911-021-01615-6,ICD code assignment from clinical notes,Clinical coding,Other,attention mechanism (SWAM),CNN,Text/NLP,Diagnosis/detection/classification,medium
175,2023,An Explainable Framework to Predict Child Sexual Abuse Awareness in People Using Supervised Machine Learning Models,Krishnaraj Chadaga; Srikanth Prabhu; Niranjana Sampathila; Rajagopala Chadaga; Muralidhar G. Bairy; K. S. Swathi,Article,Springer Science+Business Media,10,TRUE,https://link.springer.com/content/pdf/10.1007/s41347-023-00343-0.pdf,,10.1007/s41347-023-00343-0,child sexual abuse awareness,Safeguarding research,Other,SHAP; ELI5; QLattice; LIME,Stacking Ensemble; Deep Learning (unspecified),Tabular/EHR,Diagnosis/detection/classification,medium
176,2025,An Explainable Fuzzy Framework for Assessing Preeclampsia Classification,Matías Salinas; Daira Velandia; Leondry Mayeta-Revilla; Ayleen Bertini; Marvin Querales; Fabián Pardo; Rodrigo Salas,Journal Article,Multidisciplinary Digital Publishing Institute,3,TRUE,https://doi.org/10.3390/biomedicines13061483,40564202,10.3390/biomedicines13061483,preeclampsia,Preeclampsia,"Maternal, Reproductive & Child Health",fuzzy rule-based explanations; natural language rule translation,Fuzzy Decision Tree; Genetic Algorithm,Tabular/EHR,Risk prediction/screening,high
177,2024,An explainable hybrid deep learning model for prediabetes prediction in men aged 30 and above,Hung Viet Nguyen; Younsung Choi; Haewon Byeon,Article,Codon Publications,3,TRUE,https://oss.jomh.org/files/article/20241030-414/pdf/JOMH2024053001.pdf,,10.22514/jomh.2024.166,prediabetes,Type 2 diabetes mellitus,Diabetes & Endocrinology,LIME,HyperTab; hypernetwork deep learning,Tabular/EHR,Survival/mortality prediction,high
178,2024,An explainable long short-term memory network for surgical site infection identification,Amber C. Kiser; Jianlin Shi; Brian T. Bucher,"Journal Article||Research Support, Non-U.S. Gov't||Research Support, N.I.H., Extramural",Elsevier BV,5,TRUE,https://pmc.ncbi.nlm.nih.gov/articles/PMC11162927/pdf/nihms-1980192.pdf,38616153,10.1016/j.surg.2024.03.006,surgical site infection,Surgical site infection,Critical Care & Surgery,attention mechanism,LSTM; traditional ML models (unspecified),Text/NLP,Diagnosis/detection/classification,high
181,2024,An explainable machine learning approach for Alzheimer's disease classification,Abbas Saad Alatrany; Wasiq Khan; Abir Hussain; Hoshang Kolivand; Dhiya Al‐Jumeily,Journal Article,Nature Portfolio,152,TRUE,https://www.nature.com/articles/s41598-024-51985-w.pdf,38302557,10.1038/s41598-024-51985-w,Alzheimer's disease,Alzheimer's disease,Neurology,SHAP; LIME; class rule mining; SIRUS,SVM,Tabular/EHR,Biomarker discovery,high
186,2022,An Explainable Machine Learning Approach Reveals Prognostic Significance of Right Ventricular Dysfunction in Nonischemic Cardiomyopathy,Ahmed S. Fahmy; Ibolya Csécs; Arghavan Arafati; Salah Assana; Tuyen Yankama; Talal Khalid Al-Otaibi; Jennifer Rodriguez; Yiyun Chen; Long Ngo; Warren J. Manning; Raymond Y. Kwong; Reza Nezafat,"Journal Article||Research Support, N.I.H., Extramural||Research Support, Non-U.S. Gov't",Elsevier BV,49,TRUE,https://www.sciencedirect.com/science/article/pii/S1936878X21009025/pdf,,10.1016/j.jcmg.2021.11.029,nonischemic dilated cardiomyopathy,Heart failure,Cardiology,SHAP,XGBoost,Tabular/EHR,Survival/mortality prediction,high
191,2021,An explainable machine learning model for predicting in-hospital amputation rate of patients with diabetic foot ulcer,Puguang Xie; Yuyao Li; Bo Deng; Chenzhen Du; Shunli Rui; Wu Deng; Wu Deng; Min Wang; Johnson Boey; David G. Armstrong; Yu Ma; Wuquan Deng; Wuquan Deng,Journal Article,Wiley,93,TRUE,https://doi.org/10.1111/iwj.13691,34520110,10.1111/iwj.13691,diabetic foot ulcer amputation,Diabetic foot ulcer,Diabetes & Endocrinology,SHAP,LightGBM,Tabular/EHR,Prognosis/outcome prediction,high
193,2022,An explainable machine learning model for predicting the outcome of ischemic stroke after mechanical thrombectomy,Zhelv Yao; Chenglu Mao; Zhihong Ke; Yun Xu,Journal Article,BMJ,29,TRUE,https://jnis.bmj.com/content/neurintsurg/early/2022/11/28/jnis-2022-019598.full.pdf,36446552,10.1136/jnis-2022-019598,acute ischaemic stroke outcome after mechanical thrombectomy,Stroke,Neurology,SHAP,ensemble ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
194,2025,An explainable machine learning model for predicting the risk of distant metastasis in intrahepatic cholangiocarcinoma: a population-based cohort study,Jinzhe Bi; Yaqun Yu,Journal Article,Springer Nature,0,TRUE,https://link.springer.com/content/pdf/10.1007/s12672-025-02952-y.pdf,40531423,10.1007/s12672-025-02952-y,intrahepatic cholangiocarcinoma distant metastasis,Liver cancer,Oncology,SHAP,Gradient Boosting Machine; LASSO; Boruta; RFE; ML algorithms (unspecified),Tabular/EHR,Treatment response prediction,high
195,2024,An explainable machine learning model for prediction of high-risk nonalcoholic steatohepatitis,Basile Njei; Eri Osta; Nelvis Njei; Yazan A. Al‐Ajlouni; Joseph K. Lim,Journal Article,Nature Portfolio,52,TRUE,https://www.nature.com/articles/s41598-024-59183-4.pdf,38615137,10.1038/s41598-024-59183-4,metabolic dysfunction-associated steatohepatitis,NAFLD/MASLD,Diabetes & Endocrinology,SHAP,XGBoost,Tabular/EHR,Biomarker discovery,high
196,2025,An explainable machine learning model in predicting vaginal birth after cesarean section,Ming Yang; Da-Jian Long; Yunxiu Li; Xiaozhu Liu; Zhi Bai; Zhongjun Li,Journal Article,Informa,3,TRUE,https://www.tandfonline.com/doi/pdf/10.1080/14767058.2025.2546544?needAccess=true,,10.1080/14767058.2025.2546544,vaginal birth after caesarean section,Reproductive health,"Maternal, Reproductive & Child Health",SHAP,CatBoost; ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
197,2023,An explainable machine learning model of cognitive decline derived from speech,Chelsea Chandler; Catherine Diaz‐Asper; Raymond Scott Turner; Brigid Reynolds; Brita Elvevåg,Journal Article,Elsevier BV,22,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/dad2.12516,38155915,10.1002/dad2.12516,Alzheimer's disease and mild cognitive impairment,Alzheimer's disease,Neurology,explainable decision tree,Ensemble Decision Tree; NLP models (unspecified),Multimodal,Risk prediction/screening,high
198,2023,An Explainable Machine Learning Model to Predict Acute Kidney Injury After Cardiac Surgery: A Retrospective Cohort Study,Yuchen Gao; Chunrong Wang; Wenhao Dong; Bianfang Li; Jianhui Wang; Jun Li; Yu Tian; Jia Liu; Yuefu Wang,Journal Article,Dove Medical Press,10,TRUE,https://www.dovepress.com/getfile.php?fileID=94857,38076638,10.2147/CLEP.S404580,acute kidney injury after cardiac surgery,Acute kidney injury,Nephrology & Urology,SHAP,XGBoost; Logistic Regression,Tabular/EHR,Prognosis/outcome prediction,high
200,2024,Biomarker discovery and development of prognostic prediction model using metabolomic panel in breast cancer patients: a hybrid methodology integrating machine learning and explainable artificial intelligence,Fatma Hilal Yağın; Yasin Görmez; Fahaid Al‐Hashem; Irshad Ahmad; Fuzail Ahmad; Luca Paolo Ardigò,Journal Article,Frontiers Media,6,TRUE,https://doi.org/10.3389/fmolb.2024.1426964,39744676,10.3389/fmolb.2024.1426964,breast cancer,Breast cancer,Oncology,SHAP,Logistic Regression; SVM,Omics,Biomarker discovery,high
201,2021,BI-RADS-NET: AN EXPLAINABLE MULTITASK LEARNING APPROACH FOR CANCER DIAGNOSIS IN BREAST ULTRASOUND IMAGES,Boyu Zhang; Aleksandar Vakanski; Min Xian,Journal Article,,23,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/9063460,35509454,10.1109/mlsp52302.2021.9596314,breast cancer,Breast cancer,Oncology,BI-RADS feature explanations,Deep Learning CNN (unspecified),Medical imaging,Diagnosis/detection/classification,high
202,2025,Blockchain and explainable-AI integrated system for Polycystic Ovary Syndrome (PCOS) detection,Gowthami Jaganathan; Shanthi Natesan,Journal Article,"PeerJ, Inc.",12,TRUE,https://doi.org/10.7717/peerj-cs.2702,40062287,10.7717/peerj-cs.2702,polycystic ovary syndrome,Polycystic ovary syndrome,"Maternal, Reproductive & Child Health",XAI (unspecified),ML models (unspecified); Hyperledger Fabric,Tabular/EHR,Diagnosis/detection/classification,high
204,2024,Blood Biomarker Signatures for Slow Gait Speed in Older Adults: An Explainable Machine Learning Approach,Evrim Gökçe; Thomas Fréret; Antoine Langeard,Journal Article,Elsevier BV,6,TRUE,https://doi.org/10.1016/j.bbi.2024.12.007,,10.1016/j.bbi.2024.12.007,slow gait speed in older adults,Frailty,Ageing & Geriatrics,SHAP,XGBoost,Tabular/EHR,Biomarker discovery,high
205,2024,Blood pressure abnormality detection and interpretation utilizing explainable artificial intelligence,Hedayetul Islam; Md. Sadiq Iqbal; Muhammad Minoar Hossain,Article,Elsevier BV,17,TRUE,https://doi.org/10.1016/j.imed.2024.09.005,,10.1016/j.imed.2024.09.005,hypertension,Hypertension,Other,SHAP; LIME; Permutation Feature Importance; Partial Dependence Plot,XGBoost; Random Forest; SVM; Decision Tree; Logistic Regression; PCA; RFE,Tabular/EHR,Prognosis/outcome prediction,high
216,2021,CSGBBNet: An Explainable Deep Learning Framework for COVID-19 Detection,Xujing Yao; Ziquan Zhu; Shuihua Wang; Yudong Zhang,Journal Article,Multidisciplinary Digital Publishing Institute,10,TRUE,https://www.mdpi.com/2075-4418/11/9/1712/pdf?version=1632292914,34574053,10.3390/diagnostics11091712,COVID-19,COVID-19,Respiratory & Infectious Disease,,CSGBBNet; GBBNet; Deep Learning (unspecified),Medical imaging,Diagnosis/detection/classification,high
217,2023,"CVD22: Explainable artificial intelligence determination of the relationship of troponin to D-Dimer, mortality, and CK-MB in COVID-19 patients",Kevser Kübra Kırboğa; Ecir Uğur Küçüksille; Muhammet Emin Naldan; Mesut Işık; Oktay Gülcü; Emrah Aksakal,Journal Article,Elsevier BV,9,TRUE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10023204/pdf/main.pdf,36965300,10.1016/j.cmpb.2023.107492,COVID-19 with elevated troponin,COVID-19,Respiratory & Infectious Disease,SHAP,XGBoost; ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,high
218,2023,Evaluation of Blood Biomarkers and Parameters for the Prediction of Stroke Survivors' Functional Outcome upon Discharge Utilizing Explainable Machine Learning,Aimilios Gkantzios; Christos Kokkotis; Dimitrios Tsiptsios; Serafeim Moustakidis; Elena Gkartzonika; Theodoros Avramidis; Nikolaos Aggelousis; Κonstantinos Vadikolias,Journal Article,Multidisciplinary Digital Publishing Institute,24,TRUE,https://www.mdpi.com/2075-4418/13/3/532/pdf?version=1675240952,36766637,10.3390/diagnostics13030532,stroke functional outcome at discharge,Stroke,Neurology,XAI (unspecified),ML classifiers (unspecified),Tabular/EHR,Biomarker discovery,high
221,2023,Evaluation of nutritional status and clinical depression classification using an explainable machine learning method,Payam Hosseinzadeh Kasani; Jung Eun Lee; Chihyun Park; Cheol‐Heui Yun; Jae‐Won Jang; Sang‐Ah Lee,Journal Article,Frontiers Media,26,TRUE,https://www.frontiersin.org/articles/10.3389/fnut.2023.1165854/pdf,37229464,10.3389/fnut.2023.1165854,depression,Depression,Psychiatry & Mental Health,ELI5; Partial Dependence Plot; LIME; SHAP,XGBoost; Random Forest,Tabular/EHR,Risk prediction/screening,high
